xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 0015,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
6.5,0.7873,0.02122,0.01245,-0.009,0.2828,1,-2.3256,0,0.2522
6.75,0.8036,0.02188,0.01291,-0.007,0.2645,1,-2.4147,0,0.2493
7,0.8188,0.02237,0.01346,-0.0048,0.2469,1,-2.5003,0,0.2462
7.25,0.8348,0.02315,0.01416,-0.0028,0.2308,1,-2.5864,0,0.2434
7.5,0.8504,0.02382,0.0147,-0.0008,0.2161,1,-2.6753,0,0.2407
7.75,0.8662,0.02467,0.0156,0.0012,0.2025,1,-2.7584,0,0.238
8,0.8822,0.02543,0.01623,0.0031,0.1904,1,-2.8545,0,0.2356
8.25,0.8982,0.02644,0.01731,0.0051,0.1793,1,-2.946,0,0.2332
8.5,0.914,0.02719,0.01806,0.007,0.1693,1,-3.0432,0,0.2309
8.75,0.9321,0.02863,0.0194,0.0084,0.1603,1,-3.1406,0,0.2293
9,0.946,0.02946,0.02042,0.0107,0.1523,1,-3.2273,0,0.2267
9.25,0.9624,0.03031,0.02121,0.0124,0.1447,1,-3.3286,0,0.2249
9.5,0.9808,0.03224,0.0231,0.0135,0.138,1,-3.4209,0,0.2237
9.75,0.9935,0.03335,0.02446,0.0158,0.1327,1,-3.4986,0,0.2213
10,1.0076,0.03444,0.02567,0.0177,0.127,1,-3.5914,0,0.2193
10.25,1.0253,0.03556,0.02669,0.0189,0.1216,1,-3.71,0,0.2181
10.5,1.0385,0.0381,0.02934,0.0203,0.1171,1,-3.7925,0,0.2167
10.75,1.0464,0.03971,0.03125,0.0229,0.1141,1,-3.8596,0,0.2141
11,1.0537,0.04151,0.0333,0.0252,0.1108,1,-3.9254,0,0.2117
11.25,1.0612,0.04319,0.03515,0.0274,0.1075,1,-3.9983,0,0.2095
11.5,1.0722,0.04459,0.03659,0.0291,0.1041,1,-4.0925,0,0.2078
11.75,1.0876,0.04683,0.03876,0.0298,0.1005,1,-4.1985,0,0.2073
12,1.0811,0.05025,0.04244,0.0325,0.0987,1,-4.208,0,0.2042
12.25,1.0683,0.0526,0.04511,0.0361,0.0977,1,-4.205,0,0.2
12.5,1.0494,0.05545,0.04822,0.0397,0.097,1,-4.1797,0,0.1956
12.75,1.0259,0.05901,0.05206,0.0421,0.0966,1,-4.1325,0,0.1918
13,0.9964,0.06356,0.05688,0.0431,0.0964,1,-4.0564,0,0.189
13.25,0.9588,0.06967,0.06324,0.0422,0.0967,1,-3.9384,0,0.1876
13.5,0.9094,0.07849,0.07228,0.0384,0.0975,1,-3.7523,0,0.1886
13.75,0.8444,0.09205,0.08603,0.0308,0.0988,1,-3.4541,0,0.1936
14,0.657,0.15997,0.15415,-0.0022,0.1622,1,-1.8819,0,0.2353
14.25,0.6423,0.16449,0.15864,-0.0062,0.1617,1,-1.7881,0,0.2411
14.5,0.5997,0.16566,0.15972,-0.0136,0.1553,1,-1.583,0,0.2532
14.75,0.6023,0.16892,0.16297,-0.0152,0.1501,1,-1.5722,0,0.2554
15,0.6122,0.17205,0.16613,-0.0157,0.146,1,-1.5962,0,0.2556
