xflr5 v6.39,,,,,,,,,
,,,,,,,,,
 Calculated polar for: NACA 4512,,,,,,,,,
,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,
,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000,,,,,,,,,
,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
4.75,0.9619,0.02176,0.01439,-0.1141,0.7025,1,-1.411,0,0.3626
5,1.0068,0.02091,0.0135,-0.1157,0.694,1,-1.5418,0,0.3586
5.25,1.0233,0.02124,0.01393,-0.1135,0.677,1,-1.6216,0,0.3543
5.5,1.0595,0.02076,0.01346,-0.1138,0.6642,1,-1.7506,0,0.3506
5.75,1.0853,0.02063,0.01336,-0.1127,0.6471,1,-1.8647,0,0.3467
6,1.1095,0.0206,0.01337,-0.1114,0.6291,1,-1.9777,0,0.3429
6.25,1.1393,0.02034,0.01307,-0.1108,0.611,1,-2.1111,0,0.3394
6.5,1.1668,0.02017,0.01284,-0.1098,0.5908,1,-2.2507,0,0.336
6.75,1.1864,0.02029,0.01303,-0.1078,0.5684,1,-2.3711,0,0.3324
7,1.2066,0.02043,0.01318,-0.1059,0.5451,1,-2.4951,0,0.3289
7.25,1.2261,0.02061,0.01335,-0.1039,0.5205,1,-2.6192,0,0.3255
7.5,1.2441,0.02085,0.01356,-0.1017,0.4941,1,-2.748,0,0.3222
7.75,1.2603,0.02119,0.01383,-0.0992,0.466,1,-2.8795,0,0.3188
8,1.2743,0.02163,0.01416,-0.0965,0.4354,1,-3.006,0,0.3154
8.25,1.2837,0.02223,0.01476,-0.0931,0.4018,1,-3.1181,0,0.3119
8.5,1.2902,0.02298,0.01538,-0.0894,0.3649,1,-3.2221,0,0.3083
8.75,1.2921,0.02393,0.01615,-0.085,0.3257,1,-3.3108,0,0.3044
9,1.2893,0.02518,0.01713,-0.0802,0.285,1,-3.3836,0,0.3004
9.25,1.286,0.02674,0.01844,-0.0756,0.2433,1,-3.4499,0,0.2967
9.5,1.2809,0.02865,0.01999,-0.0713,0.209,1,-3.508,0,0.2931
9.75,1.2801,0.03055,0.02169,-0.0677,0.1796,1,-3.5733,0,0.29
10,1.2812,0.03251,0.02345,-0.0645,0.1581,1,-3.6425,0,0.2871
10.25,1.2858,0.03431,0.02517,-0.0618,0.1417,1,-3.7306,0,0.2844
10.5,1.2947,0.03607,0.02693,-0.0596,0.1282,1,-3.8317,0,0.282
10.75,1.3062,0.03813,0.02875,-0.0578,0.1157,1,-3.9469,0,0.2798
11,1.3165,0.03964,0.0305,-0.0558,0.1083,1,-4.0513,0,0.2776
11.25,1.3293,0.0413,0.03217,-0.0542,0.1011,1,-4.1684,0,0.2756
11.5,1.3549,0.04364,0.03442,-0.0538,0.0932,1,-4.3156,0,0.2742
11.75,1.3638,0.04531,0.03632,-0.0518,0.0886,1,-4.4143,0,0.2721
12,1.3741,0.04709,0.03823,-0.0501,0.0838,1,-4.5218,0,0.2702
12.25,1.3903,0.04909,0.04024,-0.0491,0.0799,1,-4.6481,0,0.2686
12.5,1.4207,0.05346,0.04476,-0.0496,0.0753,1,-4.7721,0,0.268
12.75,1.4209,0.05563,0.04724,-0.047,0.074,1,-4.8268,0,0.2657
13,1.4191,0.05809,0.05,-0.0446,0.0723,1,-4.873,0,0.2636
13.25,1.4156,0.06077,0.05295,-0.0422,0.0704,1,-4.9281,0,0.2616
13.5,1.4105,0.06363,0.05606,-0.0402,0.0686,1,-4.9782,0,0.2598
13.75,1.4046,0.06667,0.05931,-0.0383,0.067,1,-5.0247,0,0.2582
14,1.3965,0.07009,0.06297,-0.0367,0.0659,1,-5.0556,0,0.2567
14.25,1.3843,0.07404,0.06717,-0.0353,0.0652,1,-5.0612,0,0.2555
14.5,1.3687,0.07841,0.07179,-0.0343,0.0647,1,-5.0474,0,0.2546
14.75,1.3492,0.08334,0.07698,-0.0338,0.0645,1,-5.0097,0,0.2541
15,1.3251,0.08904,0.08296,-0.034,0.0645,1,-4.9419,0,0.2543
